"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"d:\gazzeh travail\espace-elite\src\pages\api\users\formatted.ts", "TypeScript", 0, 58, 0, 0, 11, 10, 79
"d:\gazzeh travail\espace-elite\src\pages\api\users\index.ts", "TypeScript", 0, 220, 0, 0, 30, 35, 285
"d:\gazzeh travail\espace-elite\src\pages\api\users\technicians.ts", "TypeScript", 0, 42, 0, 0, 0, 7, 49
"d:\gazzeh travail\espace-elite\src\pages\auth\signin.tsx", "TypeScript JSX", 0, 0, 124, 0, 0, 8, 132
"d:\gazzeh travail\espace-elite\src\pages\auth\signup.tsx", "TypeScript JSX", 0, 0, 185, 0, 4, 14, 203
"d:\gazzeh travail\espace-elite\src\pages\index.tsx", "TypeScript JSX", 0, 0, 23, 0, 1, 5, 29
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\AdminLayout.tsx", "TypeScript JSX", 0, 0, 70, 0, 11, 17, 98
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\AdminNavbar.tsx", "TypeScript JSX", 0, 0, 358, 0, 25, 33, 416
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\AdminSidebar.tsx", "TypeScript JSX", 0, 0, 300, 0, 20, 39, 359
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\accessory\[id].tsx", "TypeScript JSX", 0, 0, 124, 0, 0, 12, 136
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\AccessoriesTable.tsx", "TypeScript JSX", 0, 0, 279, 0, 14, 23, 316
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\DeviceActions.tsx", "TypeScript JSX", 0, 0, 96, 0, 0, 12, 108
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\DiagnosticDevicesTable.tsx", "TypeScript JSX", 0, 0, 256, 0, 11, 21, 288
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\DiagnosticResultsNotification.tsx", "TypeScript JSX", 0, 0, 205, 0, 5, 18, 228
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\LocationEditForm.tsx", "TypeScript JSX", 0, 0, 148, 0, 4, 13, 165
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\LocationForm.tsx", "TypeScript JSX", 0, 0, 122, 0, 2, 11, 135
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\MedicalDevicesTable.tsx", "TypeScript JSX", 0, 0, 269, 0, 11, 26, 306
